epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2269.48,1.37824,0.71679,0.84623,0.97063,0.93035,0.96415,0.54413,1.39872,0.60114,0.86485,0.0002179,0.0002179,0.0002179
81,2298.51,1.35426,0.71227,0.84528,0.96325,0.93172,0.96355,0.55048,1.39505,0.59436,0.8649,0.000208,0.000208,0.000208
82,2327.63,1.35554,0.70926,0.85064,0.95321,0.94669,0.96367,0.55421,1.3817,0.59497,0.86391,0.0001981,0.0001981,0.0001981
83,2357.35,1.37247,0.73017,0.84025,0.9514,0.94454,0.96415,0.55466,1.39362,0.59603,0.86572,0.0001882,0.0001882,0.0001882
84,2386,1.35739,0.71282,0.84289,0.96038,0.94029,0.96773,0.55817,1.38529,0.6021,0.86441,0.0001783,0.0001783,0.0001783
85,2416.09,1.33199,0.70615,0.8383,0.96597,0.95395,0.96676,0.55335,1.36907,0.59251,0.86316,0.0001684,0.0001684,0.0001684
86,2444.47,1.33097,0.70658,0.8394,0.97252,0.94755,0.9697,0.55925,1.38957,0.58992,0.86644,0.0001585,0.0001585,0.0001585
87,2472.06,1.32733,0.6952,0.83825,0.96808,0.94867,0.9693,0.55941,1.38269,0.5911,0.86598,0.0001486,0.0001486,0.0001486
88,2500.69,1.33659,0.70335,0.83168,0.97407,0.93332,0.96779,0.55837,1.36439,0.59376,0.86238,0.0001387,0.0001387,0.0001387
89,2530.02,1.34855,0.71793,0.83744,0.96056,0.95241,0.96965,0.56359,1.35914,0.58652,0.86229,0.0001288,0.0001288,0.0001288
90,2558.6,1.33258,0.70346,0.83595,0.96951,0.94538,0.97044,0.56294,1.35049,0.58253,0.86121,0.0001189,0.0001189,0.0001189
91,2592.52,1.27294,0.64599,0.8513,0.95388,0.94616,0.96334,0.54886,1.39116,0.59456,0.86744,0.000109,0.000109,0.000109
92,2620.23,1.23828,0.61741,0.84822,0.97226,0.93662,0.96638,0.55658,1.36951,0.59235,0.86396,9.91e-05,9.91e-05,9.91e-05
93,2649.08,1.20738,0.60195,0.85105,0.97154,0.93711,0.96758,0.55059,1.38681,0.59536,0.86656,8.92e-05,8.92e-05,8.92e-05
94,2676.51,1.19373,0.59229,0.84655,0.96855,0.93702,0.96693,0.54936,1.39294,0.59321,0.86601,7.93e-05,7.93e-05,7.93e-05
95,2704.97,1.20015,0.59843,0.8456,0.96509,0.94049,0.96739,0.56234,1.35235,0.58626,0.86128,6.94e-05,6.94e-05,6.94e-05
96,2732.83,1.17139,0.57933,0.84006,0.96226,0.94192,0.9688,0.55979,1.35493,0.58467,0.86193,5.95e-05,5.95e-05,5.95e-05
97,2761.25,1.19129,0.60447,0.84163,0.97788,0.92795,0.97036,0.56532,1.35967,0.58394,0.86156,4.96e-05,4.96e-05,4.96e-05
98,2789.69,1.18136,0.59582,0.8397,0.98141,0.92734,0.97137,0.56227,1.35788,0.58667,0.86154,3.97e-05,3.97e-05,3.97e-05
99,2818.08,1.17965,0.6128,0.84036,0.96933,0.93408,0.96948,0.57124,1.34287,0.58325,0.85957,2.98e-05,2.98e-05,2.98e-05
100,2845.58,1.16699,0.59587,0.84365,0.96706,0.93641,0.9691,0.56102,1.36148,0.58388,0.86219,1.99e-05,1.99e-05,1.99e-05
